id,region_key,organization_key,municipality_key,year,allocation_type,recipient_type,recipient_raw,nomos,amount_eur,source_file,source_ada,created_at,updated_at
1,,org_f5dcc01e8b1e9096b75c,,2016,τακτική,σύνδεσμος,ΑΝΑΠΤΥΞΙΑΚΟΣ ΣΥΝΔΕΣΜΟΣ ΔΥΤΙΚΗΣ ΑΘΗΝΑΣ (ΑΣΔΑ),ΑΘΗΝΩΝ,250000.00,apof12471-130516.pdf,6ΜΔΕ465ΦΘΕ-ΝΩΡ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
2,,org_4e5878340eeacee52cb2,,2016,τακτική,σύνδεσμος,ΑΝΑΠΤΥΞΙΑΚΟΣ ΣΥΝΔΕΣΜΟΣ ΛΑΥΡΕΩΤΙΚΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,150000.00,apof12471-130516.pdf,6ΜΔΕ465ΦΘΕ-ΝΩΡ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
3,,org_7877f6ea11565a0f807f,,2016,τακτική,σύνδεσμος,ΑΝΑΠΤΥΞΙΑΚΟΣ ΣΥΝΔΕΣΜΟΣ ΤΡΟΙΖΗΝΑΣ,ΠΕΙΡΑΙΩΣ,40000.00,apof12471-130516.pdf,6ΜΔΕ465ΦΘΕ-ΝΩΡ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
4,,org_5cb2a10ee6ca5691e7fb,,2016,τακτική,σύνδεσμος,ΠΕΡΙΒΑΛΛΟΝΤΙΚΟΣ ΣΥΝΔΕΣΜΟΣ ΔΗΜΩΝ ΑΘΗΝΑΣ - ΠΕΙΡΑΙΑ (ΠΕΣΥΔΑΠ),ΑΘΗΝΩΝ,175000.00,apof12471-130516.pdf,6ΜΔΕ465ΦΘΕ-ΝΩΡ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
5,,org_287ebee5d6e5e055a518,,2016,τακτική,σύνδεσμος,ΣΥΝΔΕΣΜΟΣ ΔΗΜΩΝ & ΚΟΙΝΟΤΗΤΩΝ ΠΡΟΣΤΑΣΙΑΣ ΚΑΙ ΑΝΑΠΛΑΣΗΣ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΤΗΣ ΠΕΡΙΟΧΗΣ ΤΟΥ ΠΕΝΤΕΛΙΚΟΥ ΑΤΤΙΚΗΣ (ΣΠΑΠ),ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,300000.00,apof12471-130516.pdf,6ΜΔΕ465ΦΘΕ-ΝΩΡ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
6,,org_ffefd3e4799ef6ddbe5a,,2016,τακτική,σύνδεσμος,ΣΥΝΔΕΣΜΟΣ ΔΗΜΩΝ ΚΑΙ ΚΟΙΝΟΤΗΤΩΝ ΓΙΑ ΤΗΝ ΠΡΟΣΤΑΣΙΑ ΚΑΙ ΑΝΑΠΤΥΞΗ ΤΗΣ ΠΑΡΝΗΘΑΣ (ΣΥΝΠΑ),ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,280000.00,apof12471-130516.pdf,6ΜΔΕ465ΦΘΕ-ΝΩΡ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
7,,,,2016,τακτική,σύνδεσμος,ΣΥΝΔΕΣΜΟΣ ΟΤΑ ΔΗΜΩΝ ΒΑΘΕΩΣ ΠΥΘΑΓΟΡΕΙΟΥ,ΣΑΜΟΥ,15000.00,apof12471-130516.pdf,6ΜΔΕ465ΦΘΕ-ΝΩΡ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
8,,org_2b83794cca39d51971af,,2016,τακτική,σύνδεσμος,ΣΥΝΔΕΣΜΟΣ ΠΡΟΣΤΑΣΙΑΣ & ΑΝΑΠΤΥΞΗΣ ΥΜΗΤΤΟΥ (ΣΠΑΥ),ΑΘΗΝΩΝ,300000.00,apof12471-130516.pdf,6ΜΔΕ465ΦΘΕ-ΝΩΡ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
9,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9001,2016,τακτική,δήμος,Δ. ΔΟΞΑΤΟΥ,ΔΡΑΜΑΣ,28600.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
10,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9002,2016,τακτική,δήμος,Δ. ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,48000.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
11,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9003,2016,τακτική,δήμος,Δ. ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΔΡΑΜΑΣ,26400.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
12,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9004,2016,τακτική,δήμος,Δ. ΠΑΡΑΝΕΣΤΙΟΥ,ΔΡΑΜΑΣ,37800.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
13,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9005,2016,τακτική,δήμος,Δ. ΠΡΟΣΟΤΣΑΝΗΣ,ΔΡΑΜΑΣ,31000.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
14,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9006,2016,τακτική,δήμος,Δ. ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΕΒΡΟΥ,64000.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
15,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9007,2016,τακτική,δήμος,Δ. ΔΙΔΥΜΟΤΕΙΧΟΥ,ΕΒΡΟΥ,39000.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
16,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9008,2016,τακτική,δήμος,Δ. ΟΡΕΣΤΙΑΔΑΣ,ΕΒΡΟΥ,61000.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
17,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9009,2016,τακτική,δήμος,Δ. ΣΑΜΟΘΡΑΚΗΣ,ΕΒΡΟΥ,28000.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
18,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9010,2016,τακτική,δήμος,Δ. ΣΟΥΦΛΙΟΥ,ΕΒΡΟΥ,76600.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
19,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9011,2016,τακτική,δήμος,Δ. ΘΑΣΟΥ,ΚΑΒΑΛΑΣ,49000.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
20,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9012,2016,τακτική,δήμος,Δ. ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ,42900.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
21,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9013,2016,τακτική,δήμος,Δ. ΝΕΣΤΟΥ,ΚΑΒΑΛΑΣ,38900.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
22,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9014,2016,τακτική,δήμος,Δ. ΠΑΓΓΑΙΟΥ,ΚΑΒΑΛΑΣ,57000.00,apof15717-110516.pdf,7ΑΡ5465ΦΘΕ-ΡΘΖ,2026-04-03 09:42:45.816576+00:00,2026-04-03 09:42:45.816576+00:00
