cpv_key,cpv_value
03111000-2,Σπόροι
03111100-3,Σπόροι σόγιας
03114000-3,Άχυρα και χορτονομές
03121000-5,Φυτοκομικά προϊόντα
03419100-1,Προϊόντα ξυλείας
03451000-6,Φυτά
03451300-9,Θάμνοι
03452000-3,Δένδρα
09112200-9,Τύρφη
09331200-0,Ηλιακά φωτοβολταϊκά στοιχεία
14212200-2,Αδρανή υλικά
14212400-4,Χώμα
14622000-7,Χάλυβας
15700000-5,Ζωοτροφές
15710000-8,Παρασκευασμένες ζωοτροφές για ζώα εκτρεφόμενα σε αγροκτήματα και άλλα ζώα
15712000-2,Ξηρή ζωοτροφή
15800000-6,Διάφορα προϊόντα διατροφής
16150000-1,Κύλινδροι χλοοτάπητα ή αθλητικών γηπέδων
16160000-4,Διάφορα είδη εξοπλισμού κηπουρικής
16600000-1,Ειδικά γεωργικά και δασοκομικά μηχανήματα
16820000-9,Μέρη δασοκομικών μηχανημάτων
18143000-3,Προστατευτικά εξαρτήματα
18443000-6,Καλύμματα κεφαλής και εξαρτήματα
18830000-6,Προστατευτικά υποδήματα
18831000-3,Υποδήματα με ενσωματωμένη προστατευτική μεταλλική μύτη
18930000-7,Σάκοι και τσάντες
19240000-0,Ειδικά υφάσματα
24200000-6,Χρώματα και χρωστικές ουσίες
24951230-6,Υλικά γόμωσης πυροσβεστήρων
24957000-7,Χημικά πρόσθετα
30193100-9,Οργανωτές συρταριών
30213100-6,Φορητοί επιτραπέζιοι μικροϋπολογιστές
30214000-2,Σταθμοί εργασίας
30231000-7,Οθόνες και κονσόλες ηλεκτρονικών υπολογιστών
30233140-4,Συσκευές αποθήκευσης άμεσης προσπέλασης (DASD)
30237240-3,Κάμερες Ιστού
31127000-2,Γεννήτρια εκτάκτου ανάγκης
31154000-0,Αδιάλειπτα τροφοδοτικά ρεύματος
31200000-8,Συσκευές διανομής και ελέγχου ηλεκτρικού ρεύματος
31212000-5,Αυτόματοι διακόπτες
31411000-0,Αλκαλικές μπαταρίες
31440000-2,Μπαταρίες
31500000-1,Φωτιστικός εξοπλισμός και ηλεκτρικοί λαμπτήρες
31518000-0,Φωτιστικά σηματοδότησης
31520000-7,Λαμπτήρες και φωτιστικά εξαρτήματα
31521320-3,Ηλεκτρικοί φορητοί φανοί
31521330-6,Επαναφορτιζόμενοι φορητοί ηλεκτρικοί λαμπτήρες
31523200-0,Πινακίδες μονίμων μηνυμάτων
31524120-2,Φωτιστικά οροφής
31524210-0,Φωτιστικά τοίχου
31600000-2,Ηλεκτρολογικός εξοπλισμός
31610000-5,Ηλεκτρολογικός εξοπλισμός για κινητήρες και οχήματα
31625100-4,Συστήματα πυρανίχνευσης
31625200-5,Συστήματα συναγερμού πυρκαγιάς
31680000-6,Προμήθειες ηλεκτρικών ειδών και εξαρτήματα
31681200-5,Ηλεκτρικές αντλίες
31682310-6,Πίνακες ρεύματος μέσης τάσης
31711423-4,Εξοπλισμός ασύρματης επικοινωνίας με μικροκύματα
31720000-9,Ηλεκτρομηχανολογικός εξοπλισμός
31730000-2,Ηλεκτροτεχνικός εξοπλισμός
32250000-0,Κινητά τηλέφωνα
32342300-5,Μικρόφωνα και συγκροτήματα μεγαφώνων
32423000-4,Κόμβοι δικτύου
32430000-6,Δίκτυο ευρείας ζώνης
33111620-3,Κάμερες ακτίνων γάμμα
33141623-3,Κυτία πρώτων βοηθειών
34113000-2,Αυτοκίνητα με κίνηση στους τέσσερις τροχούς
34131000-4,Μονοαξονικά φορτηγά
34144200-0,Οχήματα για τις υπηρεσίες εκτάκτου ανάγκης
34144210-3,Πυροσβεστικά οχήματα
34144212-7,Υδροφόρες πυροσβεστικών οχημάτων
34144213-4,Πυροσβεστικές αντλίες
34144420-8,Μηχανήματα διασκόρπισης αλατιού
34144511-3,Οχήματα συμπίεσης απορριμμάτων
34144512-0,Απορριμματοφόρα οχήματα με συμπιεστή απορριμμάτων
34144710-8,Τροχοφόροι φορτωτές
34144750-0,Οχήματα μεταφοράς φορτίων
34312500-2,Στεγανοποιητικά παρεμβύσματα
34913000-0,Διάφορα ανταλλακτικά
34928200-0,Περιφράξεις
34928210-3,Ξύλινοι πάσσαλοι
34928400-2,Αστικός εξοπλισμός
34928410-5,Πάσσαλοι οριοθέτησης
34928471-0,Εξοπλισμός πινακίδων σήμανσης
34928472-7,Στύλοι πινακίδων σήμανσης
34931000-2,Εξοπλισμός λιμένων
34946221-5,Λάμες
34953000-2,Ράμπες πρόσβασης
34990000-3,Εξοπλισμός ελέγχου
34991000-0,Φωτιστικά σώματα υπαίθριων χώρων
34992000-7,Πινακίδες και φωτεινές πινακίδες
34992200-9,Οδικά σήματα
35000000-4,Εξοπλισμός ασφαλείας και πυρόσβεσης
35100000-5,Εξοπλισμός εκτάκτου ανάγκης και ασφαλείας
35110000-8,Εξοπλισμός πυρόσβεσης
35111000-5,Πυροσβεστικός εξοπλισμός
35111100-6,Αναπνευστικές συσκευές πυρόσβεσης
35111200-7,Υλικά πυρόσβεσης
35111300-8,Πυροκατασβεστήρες
35111320-4,Φορητοί πυροσβεστήρες
35111400-9,Εξοπλισμός πυρασφάλειας
35111500-0,Συστήματα πυρόσβεσης
35111510-3,Πυροσβεστικά εργαλεία χειρός
35111520-6,Πυροσβεστικός αφρός ή παρόμοιες ενώσεις
35112000-2,Εξοπλισμός διάσωσης και κινδύνου
35113100-0,Εξοπλισμός ασφάλειας εργοταξίων
35113400-3,Ρούχα προστασίας και ασφαλείας
35121000-8,Εξοπλισμός ασφαλείας (π.χ. έναντι κλοπής
35121700-5,Συστήματα συναγερμού
35125300-2,Κάμερες ασφαλείας
35261000-1,Πίνακες πληροφοριών
35813100-7,Καλύμματα για κράνη
37416000-7,Εξοπλισμός αναψυχής
37423000-9,Σχοινιά κρίκων ή κρίκοι ή εξαρτήματα αναρρίχησης για ενόργανη γυμναστική
37442900-8,Πολυόργανα γυμναστικής
37451000-4,Εξοπλισμός υπαίθριων αθλημάτων
37461500-2,Τραπέζια επιτραπέζιας αντισφαίρισης
37524500-2,Παιχνίδια στρατηγικής
37535200-9,Εξοπλισμός παιδικής χαράς
38127000-1,Μετεωρολογικοί σταθμοί
38651600-9,Ψηφιακές κάμερες
38652120-7,Βιντεοπροβολείς
39112000-0,Καρέκλες
39112100-1,Καρέκλες τραπεζαρίας
39113300-0,Πάγκοι-καθίσματα
39120000-9,Τραπέζια - ερμάρια - γραφεία και βιβλιοθήκες
39121200-8,Τραπέζια
39131100-0,Ράφια αρχειοθέτησης
39141300-5,Ερμάρια
39293400-6,Τεχνητός χορτοτάπητας
39522000-7,Μουσαμάδες
39522530-1,Σκηνές
39525400-2,Κουβέρτες πυρόσβεσης
39714100-1,Εξαεριστήρες
39715100-8,Ηλεκτρικοί θερμαντήρες νερού
39831220-4,Μέσα απολίπανσης
42122000-0,Αντλίες
42122110-4,Αντλίες πυρόσβεσης
42124200-6,Μέρη αντλιών ή διατάξεων ανύψωσης υγρών
42130000-9,Στρόφιγγες
42410000-3,Εξοπλισμός ανύψωσης και διακίνησης
42512500-3,Μέρη κλιματιστικών μηχανημάτων
42620000-8,Τόρνοι
42670000-3,Μέρη και εξαρτήματα εργαλειομηχανών
42675100-9,Μέρη αλυσοπριόνων
42900000-5,Διάφορα μηχανήματα γενικής και ειδικής χρήσης
42913000-9,Φίλτρα λαδιού - καυσίμου και αέρα εισαγωγής
42924730-5,Συσκευές καθαρισμού με εκτόξευση νερού υπό πίεση
42924740-8,Συσκευές καθαρισμού υψηλής πίεσης
42996200-6,Πρέσες αποβλήτων
43132300-0,Τρυπάνια
43200000-5,Μηχανήματα χωματουργικών εργασιών και εκσκαφών και συναφή μέρη
43210000-8,Μηχανήματα χωματουργικών εργασιών
43313000-0,Εκχιονιστήρες και φυσητήρες χιονιού
43313100-1,Εκχιονιστήρες
43323000-3,Εξοπλισμός άρδευσης
43325000-7,Εξοπλισμός πάρκων και παιδικής χαράς
43328100-9,Εξοπλισμός υδραυλικών εγκαταστάσεων
43800000-1,Εξοπλισμός συνεργείου
44111000-1,Οικοδομικά υλικά
44111700-8,Πλακίδια
44112200-0,Επενδύσεις δαπέδων
44112220-6,Ψευδοδάπεδα
44114000-2,Σκυρόδεμα
44114200-4,Προϊόντα σκυροδέματος
44114250-9,Πλάκες από σκυρόδεμα
44115200-1,Υλικά υδραυλικών εγκαταστάσεων και εγκαταστάσεων θέρμανσης
44115210-4,Υλικά υδραυλικών εγκαταστάσεων
44115500-4,Συστήματα αυτόματης πυρόσβεσης με ψεκαστήρες
44141000-0,Αγωγοί
44160000-9,Σωλαγωγοί
44161200-8,Σωλήνες ύδρευσης
44163210-5,Σφιγκτήρες αγωγών
44164200-9,Σωλήνες
44164310-3,Σωλήνες και εξαρτήματα
44167000-8,Διάφορα εξαρτήματα σωληνώσεων
44175000-7,Φατνώματα
44176000-4,Μεμβράνες
44211000-2,Προκατασκευασμένα κτίρια
44221200-7,Πόρτες
44221220-3,Θύρες πυροπροστασίας
44221240-9,Γκαραζόπορτες
44231000-8,Έτοιμα πλαίσια περίφραξης
44233000-2,Κλίμακες
44300000-3,Καλώδια
44312000-0,Αγκαθωτό σύρμα
44313000-7,Μεταλλικά πλέγματα
44316000-8,Σιδηρικά είδη
44320000-9,Καλώδια και συναφή είδη
44410000-7,Είδη μπάνιου και κουζίνας
44411100-5,Κρουνοί
44411300-7,Νιπτήρες
44411740-3,Λεκάνες αποχωρητηρίου
44421000-7,Θωρακισμένα ή ενισχυμένα θησαυροφυλάκια
44424200-0,Κολλητική ταινία
44470000-5,Διάφορα προϊόντα από χυτοσίδηρο
44480000-8,Ποικίλος εξοπλισμός πυροπροστασίας
44482000-2,Συσκευές πυροπροστασίας
44482100-3,Πυροσβεστικοί υδροσωλήνες
44482200-4,Κρουνοί υδροληψίας για πυρόσβεση
44511000-5,Εργαλεία χειρός
44511110-9,Τσάπες
44511320-4,Σκαπάνες
44511400-9,Τσεκούρια
44514000-6,Εργαλεία χειρός και μέρη εργαλείων
44521210-3,Λουκέτα
44531000-1,Κοχλιωτοί συνδετήρες
44540000-7,Αλυσίδες
44611200-8,Αναπνευστικές συσκευές
44611500-1,Δεξαμενές νερού
44613700-7,Απορριμματοφόροι κάδοι
44615000-4,Δοχεία υπό πίεση
44811000-8,Χρώμα διαγράμμισης οδών
44910000-2,Λίθοι για κατασκευές
45000000-7,Κατασκευαστικές εργασίες
45100000-8,Εργασίες προπαρασκευής εργοταξίων
45110000-1,Εργασίες κατεδάφισης και αποξήλωσης εγκαταστάσεων κτιρίων και εργασίες μετακίνησης γαιών
45111100-9,Εργασίες κατεδάφισης
45111212-7,Εργασίες εκβραχισμού
45111220-6,Εργασίες απομάκρυνσης μπάζων
45111230-9,Εργασίες σταθεροποίησης εδάφους
45111240-2,Εργασίες αποστράγγισης εδάφους
45112000-5,Εργασίες εκσκαφών και μετακίνησης γαιών
45112100-6,Εργασίες διάνοιξης τάφρων
45112320-4,Εργασίες αποκατάστασης εκτάσεων γης
45112330-7,Εργασίες αποκατάστασης περιοχής
45112400-9,Εργασίες εκσκαφών
45112420-5,Εργασίες εκσκαφής θεμελίων
45112450-4,Εργασίες εκσκαφής αρχαιολογικών χώρων
45112500-0,Εργασίες μετακίνησης γαιών
45112600-1,Εργασίες αφαίρεσης και πλήρωσης γαιών
45112700-2,Εργασίες διαμόρφωσης τοπίου
45112710-5,Εργασίες διαμόρφωσης τοπίου για χώρους πρασίνου
45112712-9,Εργασίες διαμόρφωσης τοπίου για κήπους
45212314-0,Κατασκευαστικές εργασίες για ιστορικά μνημεία ή μνημεία
45215100-8,Κατασκευαστικές εργασίες για κτίρια υπηρεσιών υγείας
45220000-5,Εργασίες μηχανικού και δομικές εργασίες
45221220-0,Οχετός
45221230-3,Φρέατα
