municipality_raw,row_count
-,1979
Δ. ΤΡΙΦΥΛΛΙΑΣ,525
,290
ΚΟΡΙΝΘΟΥ,257
ΧΑΛΚΙΔΑΣ,197
ΚΡΕΣΤΑΙΝΩΝ,177
Δ. ΖΑΚΥΝΘΙΩΝ,172
Δ. ΛΕΥΚΑΔΟΣ,158
ΑΜΑΛΙΑΔΑΣ,153
ΛΕΧΑΙΝΩΝ,145
ΦΙΛΛΙΠΙΑΔΑΣ,141
ΝΑΥΠΛΙΟΥ,133
ΜΕΣΟΛΟΓΓΙΟΥ,118
ΝΑΥΠΑΚΤΟΥ,117
ΘΥΝΑΛΙΩΝ,113
ΓΥΘΕΙΟΥ,111
ΠΕΙΡΑΙΑ,107
ΠΥΛΟΥ,107
ΚΙΑΤΟΥ,107
ΘΗΒΑΣ,104
ΛΑΡΙΣΑΣ,102
ΚΥΠΑΡΙΣΣΙΑΣ,100
ΑΙΓΙΟΥ,99
ΛΙΒΑΔΕΙΑΣ,98
ΕΛΑΤΙΩΝ,95
ΑΤΑΛΑΝΤΗΣ,94
ΑΛΙΒΕΡΙΟΥ,92
ΧΑΛΑΝΔΡΙΤΣΑΣ,90
ΓΑΡΓΑΛΙΑΝΩΝ,85
ΒΡΥΣΣΩΝ,85
ΔΕΛΒΙΝΑΚΙΟΥ,83
ΙΣΤΙΑΙΑΣ,81
ΜΟΛΑΩΝ,77
ΟΙΝΟΦΥΤΩΝ,73
ΜΕΛΙΓΑΛΑ,72
ΑΡΤΑΣ,72
ΟΛΥΜΠΙΑΣ,69
ΛΑΥΡΙΟΥ,68
ΚΥΜΗΣ,63
ΚΑΝΤΑΝΟΥ,60
ΑΡΕΟΠΟΛΕΩΣ,60
ΝΙΚΟΛΑΟΥ,57
ΕΛΕΥΘΕΡΟΥΠΟΛΗΣ,57
ΤΡΙΚΑΛΩΝ,55
ΛΑΜΙΑΣ,55
ΚΑΡΔΑΜΥΛΩΝ,52
ΑΡΓΟΥΣ,50
ΜΑΝΤΟΥΔΙΟΥ,48
ΠΑΡΑΜΥΘΙΑΣ,47
ΚΩΝΣΤΑΝΤΙΝΟΥ,46
ΑΡΓΥΡΟΧΩΡΙΟΥ,46
ΑΡΙΔΑΙΑΣ,44
ΝΕΥΡΟΚΟΠΙΟΥ,44
ΙΤΕΑΣ,43
ΟΡΕΣΤΙΚΟΥ,43
ΧΡΥΣΟΥΠΟΛΗΣ,40
ΑΜΦΙΚΛΕΙΑΣ,39
ΚΡΑΝΙΔΙΟΥ,38
ΒΥΤΙΝΑΣ,36
ΒΟΥΤΣΑΡΟΥ,35
ΜΑΚΡΗΣ,35
Δ. ΜΩΛΟΥ,35
Δ. ΔΩΡΙΔΟΑΣ,35
Δ. ΑΓΙΟΝ ΟΡΟΣ,32
ΑΚΡΑΤΑΣ,31
ΠΕΡΙΒΟΛΙΟΥ,31
ΝΙΓΡΙΤΑΣ,30
ΠΤΟΛΕΜΑΙΔΑΣ,29
ΛΙΜΝΗΣ,29
ΑΓΙΑΣΟΥ,28
ΦΩΤΕΙΝΗΣ,27
ΣΤΑΥΡΟΥΠΟΛΗΣ,26
ΕΠΙΣΚΟΠΗΣ,25
ΘΕΣΠΡΩΤΙΚΟΥ,25
Δ. ΕΛΑΤΙΩΝ,25
ΑΣΤΡΟΥΣ,24
ΑΡΜΟΛΙΩΝ,24
ΚΑΜΠΑΝΟΥ,24
ΚΑΛΛΟΝΗΣ,24
ΛΙΤΟΧΩΡΟΥ,24
ΛΙΝΔΟΥ,24
ΜΑΡΜΑΡΑ,23
ΣΑΠΠΩΝ,23
ΛΙΔΩΡΙΚΙΟΥ,22
ΚΑΡΛΟΒΑΣΙΟΥ,21
ΓΙΑΝΝΙΤΣΩΝ,21
ΑΜΦΙΣΣΑΣ,21
ΑΡΝΑΙΑΣ,20
ΑΡΓΑΛΑΣΤΗΣ,19
ΕΥΡΩΣΤΙΝΗΣ,19
ΓΑΡΑΖΟΥ,19
ΑΠΟΛΛΩΝΑ,19
ΣΠΗΛΙΟΥ,19
ΛΕΩΝΙΔΙΟΥ,18
Δ. ΚΕΡΑΤΕΑΣ,17
ΚΗΡΥΚΟΥ,17
ΣΙΔΗΡΟΚΑΣΤΡΟΥ,17
ΡΟΔΟΛΙΒΟΥΣ,15
ΜΗΛΙΩΤΑΔΩΝ,15
ΕΠΤΑΧΩΡΙΟΥ,15
ΑΣΤΡΟΧΩΡΙΟΥ,15
ΠΟΛΥΔΡΟΣΟΥ,14
ΤΡΟΠΑΙΩΝ,13
ΑΘΑΜΑΝΙΟΥ,13
ΒΑΣΙΛΙΚΗΣ,12
ΔΙΚΑΙΩΝ,12
ΚΟΛΙΝΔΡΟΥ,12
Δ. ΑΡΤΕΜΙΣΙΩΝ,11
Δ. ΦΑΝΑΡΙΟΥ,11
ΑΡΓΥΡΑΔΩΝ,11
ΜΟΥΡΙΩΝ,11
Δ. ΓΥΘΕΙΟΥ,11
Δ. ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,10
ΝΑΞΟΥ,10
Δ. ΛΟΥΤΡΑΚΙΟΥ-ΠΕΡΑΧΩΡΑΣ,10
ΟΡΟΥΣ,10
ΒΙΛΛΙΩΝ,9
Δ. ΛΑΓΑΝΑ,9
ΠΛΩΜΑΡΙΟΥ,9
ΚΡΑΝΙΑΣ,8
Δ. ΚΑΡΔΑΜΥΛΩΝ,8
ΒΕΡΓΙΝΑΣ,8
Δ. ΦΙΛΙΠΠΙΑΔΟΣ,8
ΔΕΡΒΕΝΟΧΩΡΙΩΝ,8
Δ. ΣΥΒΡΙΤΟΥ,8
Δ. ΛΟΥΡΟΥ,7
Δ. ΣΠΕΡΧΕΙΑΔΟΣ,7
Δ. ΛΕΙΒΑΘΟΥΣ,7
Δ. ΒΙΛΙΩΝ,7
ΜΟΝΟΦΑΤΣΙΟΥ,7
Δ. ΒΟΪΩΝ,7
ΜΟΙΡΩΝ,7
Δ. ΘΙΣΒΗΣ,7
Δ. ΤΕΝΕΑΣ,7
Δ. ΣΟΛΥΓΕΙΑΣ,7
Δ. ΛΑΜΠΗΣ,7
Δ. ΩΛΕΝΙΑΣ,6
Δ. ΒΟΧΑΣ,6
ΜΑΚΕΔΟΝΙΔΟΣ,6
Δ. ΤΡΟΠΑΙΩΝ,6
Δ. ΛΑΡΙΣΣΟΥ,6
Δ. ΑΡΚΑΔΙΟΥ,6
Δ. ΠΑΡΑΜΥΘΙΑΣ,6
Δ. ΑΝΤΙΧΑΣΙΩΝ,6
Κ. ΣΑΜΑΡΙΝΗΣ,5
Δ. ΣΚΑΛΑΣ,5
