org_type,org_name_clean,doc_count,authority_level,municipality_id,region_id,coverage_region_ids,coverage_region_count,match_method,notes
ΑΛΛΟΣ ΦΟΡΕΑΣ,2Η ΔΥΠΕ ΠΕΙΡΑΙΩΣ ΚΑΙ ΑΙΓΑΙΟΥ,12,decentralized,,,ΑΤΤΙΚΗΣ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,3,manual_review_decentralized,2η ΔΥΠΕ: Βόρειο Αιγαίο + Νότιο Αιγαίο + Αττική (Πειραιάς)
ΑΛΛΟΣ ΦΟΡΕΑΣ,3Η ΔΥΠΕ ΜΑΚΕΔΟΝΙΑΣ,6,decentralized,,,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,manual_review_decentralized,3η ΔΥΠΕ Μακεδονίας - Κεντρική & Δυτική Μακεδονία
ΑΛΛΟΣ ΦΟΡΕΑΣ,4Η ΔΥΠΕ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,10,decentralized,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,1,manual_review_decentralized,4η ΔΥΠΕ ΑΜΘ - Ανατολική Μακεδονία και Θράκη
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΓΡΟΤΙΚΗ ΦΥΛΑΚΗ ΚΑΣΣΑΝΔΡΑΣ,2,municipality,9057,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,0,manual_review_municipality,"Αγροτική Φυλακή Κασσάνδρας - Χαλκιδική, Κεντρική Μακεδονία"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΝΑΓΚΑΣΤΙΚΟΣ ΣΥΝΔΕΣΜΟΣ ΔΙΑΧΕΙΡΙΣΗΣ ΣΤΕΡΕΩΝ ΑΠΟΒΛΗΤΩΝ ΔΙΑΧΕΙΡΙΣΤΙΚΗΣ ΕΝΟΤΗΤΑΣ ΠΕΡΙΦΕΡΕΙΑΣ ΗΠΕΙΡΟΥ,2,region,,ΗΠΕΙΡΟΥ,ΗΠΕΙΡΟΥ,1,manual_review_region,Φορέας ΣΑ Περιφέρειας Ηπείρου
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΝΕΞΑΡΤΗΤΗ ΑΡΧΗ ΔΗΜΟΣΙΩΝ ΕΣΟΔΩΝ ΑΑΔΕ,22,national,,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ;ΑΤΤΙΚΗΣ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΗΠΕΙΡΟΥ;ΘΕΣΣΑΛΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΚΡΗΤΗΣ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;ΠΕΛΟΠΟΝΝΗΣΟΥ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13,manual_review_national,Εθνική αρχή δημοσίων εσόδων - πανελλαδική κάλυψη
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΝΕΞΑΡΤΗΤΟΣ ΔΙΑΧΕΙΡΙΣΤΗΣ ΜΕΤΑΦΟΡΑΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ ΑΔΜΗΕ ΑΕ,68,national,,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ;ΑΤΤΙΚΗΣ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΗΠΕΙΡΟΥ;ΘΕΣΣΑΛΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΚΡΗΤΗΣ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;ΠΕΛΟΠΟΝΝΗΣΟΥ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13,manual_review_national,Εθνικός φορέας - διαχείριση δικτύου ηλεκτρικής ενέργειας
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΝΩΝΥΜΗ ΜΟΝΟΜΕΤΟΧΙΚΗ ΕΤΑΙΡΕΙΑ ΔΙΑΧΕΙΡΙΣΗΣ ΑΚΙΝΗΤΩΝ ΔΗΜΟΥ ΓΑΛΑΤΣΙΟΥ,2,municipality,9188,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,ΑΕ ακινήτων Δήμου Γαλατσίου - Αττική
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ,2,municipality,9186,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,"Ανωτάτη Σχολή Καλών Τεχνών - Αθήνα, Αττική"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΞΙΟΠΟΙΗΣΗ ΔΗΜΟΤΙΚΗΣ ΑΚΙΝΗΤΗΣ ΠΕΡΙΟΥΣΙΑΣ ΑΓΙΑΣ - ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,4,municipality,9097,ΘΕΣΣΑΛΙΑΣ,,0,manual_review_municipality,Δημοτική ΑΕ ακινήτων Αγιάς - Θεσσαλία
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ,2,municipality,9031,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,0,manual_review_municipality,Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΡΣΙΣ ΚΟΙΝΩΝΙΚΗ ΟΡΓΑΝΩΣΗ ΥΠΟΣΤΗΡΙΞΗΣ ΝΕΩΝ,2,national,,,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ;ΑΤΤΙΚΗΣ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΗΠΕΙΡΟΥ;ΘΕΣΣΑΛΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΚΡΗΤΗΣ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;ΠΕΛΟΠΟΝΝΗΣΟΥ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,13,manual_review_national,"ΑΡΣΙΣ - εθνικής εμβέλειας κοινωνική οργάνωση (έδρα Θεσσαλονίκη, δίκτυο πανελλαδικό)"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΡΧΑΙΟΛΟΓΙΚΟ ΜΟΥΣΕΙΟ ΗΡΑΚΛΕΙΟΥ,2,municipality,9170,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,Αρχαιολογικό Μουσείο Ηρακλείου - Κρήτη
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΣΠΑΙΤΕ,4,municipality,9168,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,"ΑΣΠΑΙΤΕ - Μαρούσι, Αττική"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΑΣΤΙΚΗ ΑΝΑΠΤΥΞΗ ΔΗΜΟΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,4,municipality,9114,ΘΕΣΣΑΛΙΑΣ,,0,manual_review_municipality,"Αστική Ανάπτυξη ΑΕ - Τρίκαλα, Θεσσαλία"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΒΙΟΤΕΧΝΙΚΟ ΕΠΙΜΕΛ. ΑΘΗΝΩΝ,2,municipality,9186,ΑΤΤΙΚΗΣ,,0,manual_review_municipality,Βιοτεχνικό Επιμελητήριο Αθηνών - Αττική
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΒΙΟΤΕΧΝΙΚΟ ΕΠΙΜΕΛ. ΘΕΣ/ΝΙΚΗΣ,6,municipality,9031,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,0,manual_review_municipality,Βιοτεχνικό Επιμελητήριο Θεσσαλονίκης
ΑΛΛΟΣ ΦΟΡΕΑΣ,Γ.Ν. ΛΑΣΙΘΙΟΥ,2,decentralized,,ΚΡΗΤΗΣ,ΚΡΗΤΗΣ,1,manual_review_decentralized,"Γενικό Νοσοκομείο Λασιθίου - εξυπηρετεί Άγιο Νικόλαο, Ιεράπετρα, Σητεία, Κρήτη"
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΓΑΙΑ ΟΣΕ ΑΕ,26,other,,,,0,manual_review_skip,Θυγατρική ΟΣΕ (ακίνητα) - εκτός scope για χάρτη
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΓΕΝΙΚΟ ΚΑΤΑΣΤΗΜΑ ΚΡΑΤΗΣΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2,municipality,9031,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,0,manual_review_municipality,Γενικό Κατάστημα Κράτησης Θεσσαλονίκης
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΓΡΑΜΜΑΤΕΙΑ ΠΡΩΤΟΔΙΚΕΙΟΥ ΘΗΒΑΣ,2,municipality,9144,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,,0,manual_review_municipality,Πρωτοδικείο Θήβας - Στερεά Ελλάδα
ΑΛΛΟΣ ΦΟΡΕΑΣ,Δ.Ε.Υ.Α ΘΗΡΑΣ,4,municipality,9270,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,,0,manual_review_municipality,ΔΕΥΑ Θήρας - Νότιο Αιγαίο
ΑΛΛΟΣ ΦΟΡΕΑΣ,Δ.Ε.Υ.Α ΚΙΛΚΙΣ,2,municipality,9040,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,,0,manual_review_municipality,ΔΕΥΑ Κιλκίς - Κεντρική Μακεδονία
ΑΛΛΟΣ ΦΟΡΕΑΣ,Δ.Ε.Υ.Α ΧΕΡΣΟΝΗΣΟΥ ΚΡΗΤΗΣ,1,other,,,,0,exact,
ΑΛΛΟΣ ΦΟΡΕΑΣ,ΔΕΥΑ ΔΉΜΟΥ ΤΕΜΠΏΝ,6,municipality,9101,ΘΕΣΣΑΛΙΑΣ,,0,manual_review_municipality,ΔΕΥΑ Δήμου Τεμπών - Θεσσαλία
