id,copernicus_id,centroid,bbox,shape,country,countryful,province,commune,firedate,area_ha,broadlea,conifer,mixed,scleroph,transit,othernatlc,agriareas,artifsurf,otherlc,percna2k,lastupdate,lastfiredate,noneu,municipality_key,municipality_normalized_value,municipality_match_method,municipality_overlap_ratio,created_at,updated_at,region_key,region_normalized_value
245,224188,"{""type"":""Point"",""coordinates"":[24.683335289043875,35.286349029639]}","[""24.682471"",""35.285543"",""24.683928"",""35.287008""]","{""type"":""MultiPolygon"",""coordinates"":[[[[24.683279499939616,35.28700792366612],[24.683043320982488,35.286985110105],[24.682915544124636,35.28695870845448],[24.68265564849831,35.28687902139218],[24.68256480999381,35.28681804625206],[24.682472038387598,35.286661006692896],[24.682470902233117,35.286593466388666],[24.682559262455285,35.28648829068503],[24.6826332231298,35.286466015911984],[24.682832004567278,35.286484712867136],[24.682932361394247,35.28648425356404],[24.683123200447437,35.286463773459054],[24.683222477400435,35.28642702097304],[24.68341706620115,35.28630481494701],[24.683442779967184,35.286230365497005],[24.683348021770392,35.286063532639375],[24.683310373643778,35.285986217140355],[24.683258968353382,35.285852884002765],[24.683257803171283,35.285769719932276],[24.683304684573056,35.285580180793815],[24.68340396033396,35.28554342811739],[24.683742502885636,35.28559027963391],[24.683839392578506,35.285634655226],[24.683877009800018,35.285760086195],[24.68389385968078,35.285827712248285],[24.68392165963258,35.28596482948841],[24.68392836599466,35.28602887226573],[24.683926602428123,35.28614039170477],[24.683925665319574,35.286182217396565],[24.683923790685718,35.28623308006436],[24.683824203005205,35.28637667652613],[24.68343944024217,35.286883304889535],[24.683279499939616,35.28700792366612]]]]}",EL,Ελλάδα ,Ρέθυμνο,Τοπική Κοινότητα Αρχαίας Ελεύθερνας,2024-01-06T10:14:00+00:00,1.00,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,2025-01-08T12:31:04.589618+00:00,,false,9318,ΡΕΘΥΜΝΗΣ,shape_max_overlap,1.000000,2026-03-08T13:04:35.628196+00:00,2026-03-08T13:04:35.628196+00:00,ΚΡΗΤΗΣ,ΚΡΗΤΗΣ
542,224189,"{""type"":""Point"",""coordinates"":[24.685781180120284,35.28845210108236]}","[""24.685029"",""35.286998"",""24.686400"",""35.289448""]","{""type"":""MultiPolygon"",""coordinates"":[[[[24.685417889020183,35.28943345305101],[24.685201449184085,35.2894479290312],[24.68512180116697,35.28941120897454],[24.685029019618536,35.28925417300157],[24.6850324266603,35.28917809012411],[24.685138435038212,35.28903974552275],[24.68523160464353,35.288988342138715],[24.685487313534974,35.28892712030331],[24.68558761568076,35.288895410681214],[24.685721315229124,35.28883352489362],[24.685749614068683,35.28878731224576],[24.685725780802926,35.288669784325606],[24.685682413749653,35.288517849704796],[24.68553788227784,35.28804551341741],[24.685531424298105,35.28784338084046],[24.685650881597443,35.28753096736513],[24.685699264737135,35.287382555084264],[24.68576764814397,35.2871187797826],[24.68582072206023,35.28703994270123],[24.68595839043303,35.286997644584616],[24.686003570057157,35.287034680890194],[24.686041305197907,35.28722076709692],[24.686028412072734,35.28737390820469],[24.68594062075137,35.28778236969198],[24.685944010404608,35.28796936602893],[24.686044962614183,35.28828689031512],[24.686127284403,35.28839871767994],[24.686345934192495,35.288515346520406],[24.686399812189162,35.288595268252024],[24.686390335351074,35.288788924107564],[24.686350445647665,35.28887085679884],[24.686205056271834,35.28899529245608],[24.686143796279925,35.28903376651675],[24.686051352987857,35.289058700831205],[24.685933378641675,35.28912710569824],[24.685567802554687,35.289367742368555],[24.685417889020183,35.28943345305101]]]]}",EL,Ελλάδα ,Ρέθυμνο,Τοπική Κοινότητα Αρχαίας Ελεύθερνας,2024-01-04T10:14:00+00:00,1.00,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,2024-01-10T10:10:01.065728+00:00,,false,9318,ΡΕΘΥΜΝΗΣ,shape_max_overlap,1.000000,2026-03-08T13:04:35.628196+00:00,2026-03-08T13:04:35.628196+00:00,ΚΡΗΤΗΣ,ΚΡΗΤΗΣ
541,224190,"{""type"":""Point"",""coordinates"":[24.67947759332195,35.28909029752121]}","[""24.678787"",""35.288247"",""24.680044"",""35.289856""]","{""type"":""MultiPolygon"",""coordinates"":[[[[24.679746337811824,35.28967684290651],[24.679642304251157,35.28982497573857],[24.679576465914437,35.28985636458303],[24.67942489211736,35.28983009424558],[24.679343712715927,35.28978580085605],[24.679180119800094,35.28964010856226],[24.679082204736254,35.28959068292176],[24.678865656555384,35.2895444873244],[24.678805221638925,35.28947863634221],[24.67878714008803,35.28926917547108],[24.6788239701588,35.289172109304396],[24.67898503850001,35.289004724919145],[24.679080202027535,35.28893217121167],[24.679288592123378,35.28881787638867],[24.679354374231245,35.288755240353915],[24.67940137379034,35.28862636025044],[24.679428114641084,35.288556957460585],[24.679484932474946,35.28841639143017],[24.67951374637944,35.288372703264315],[24.67956879437117,35.28834365642994],[24.679605762093185,35.28832470838283],[24.679694235809198,35.28828019217845],[24.679744387556845,35.288264340512136],[24.679850620660865,35.288247314929386],[24.67990639735946,35.2882592133031],[24.68001670924216,35.288322432555944],[24.680044155955272,35.288364918195185],[24.680040401779657,35.28846664327198],[24.6800278405288,35.288528564391896],[24.67998282740993,35.2886672389392],[24.67996668650179,35.28871150088295],[24.679949034985395,35.28874466684786],[24.679915358330952,35.28890374092535],[24.679802264622708,35.28948815631479],[24.679746337811824,35.28967684290651]]]]}",EL,Ελλάδα ,Ρέθυμνο,Τοπική Κοινότητα Αρχαίας Ελεύθερνας,2024-01-04T10:14:00+00:00,1.00,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2024-01-10T10:10:22.072444+00:00,,false,9318,ΡΕΘΥΜΝΗΣ,shape_max_overlap,1.000000,2026-03-08T13:04:35.628196+00:00,2026-03-08T13:04:35.628196+00:00,ΚΡΗΤΗΣ,ΚΡΗΤΗΣ
540,224191,"{""type"":""Point"",""coordinates"":[24.58380518769,35.319411601645406]}","[""24.582466"",""35.318134"",""24.585106"",""35.320817""]","{""type"":""MultiPolygon"",""coordinates"":[[[[24.584679026518995,35.31985694792671],[24.58454936466685,35.319938144762695],[24.58446431437503,35.31992438245955],[24.58426378164752,35.31978975530599],[24.58418780328376,35.3197043535967],[24.584093361065,35.319507421375114],[24.58402193867669,35.319421294484954],[24.58383909406515,35.31928385156638],[24.58373694583262,35.319243561674945],[24.583523214566252,35.319224584963564],[24.583406683772843,35.31926457842098],[24.583168000640192,35.31943882377704],[24.583098584420252,35.31954931380903],[24.58306776990111,35.31980403008185],[24.58317377001197,35.31994510091211],[24.58361611683636,35.32023806993126],[24.583747915897884,35.32034383664597],[24.58381725727835,35.32046149281328],[24.583796790079173,35.32052324609527],[24.5836479873642,35.32064533786292],[24.58349084221081,35.32070544358092],[24.583029551474514,35.32081670213901],[24.582879555932482,35.32076062689795],[24.582758512680147,35.320431665669325],[24.582673754592516,35.32025601633365],[24.582465737647464,35.319903044610335],[24.58247287011242,35.319751769925],[24.582708575488965,35.31951744000429],[24.582829630890075,35.319418231468084],[24.58306390559535,35.31926739885673],[24.583156885455153,35.319203855533175],[24.583283591743772,35.319107990798386],[24.583346942040443,35.31901406479337],[24.583466183721942,35.31874527559433],[24.5835412770969,35.318604633472575],[24.583713574144067,35.31832740021731],[24.58380463617105,35.31823101333315],[24.583985874462535,35.31813403870462],[24.584112307698867,35.318154864237776],[24.58442192915926,35.318332690428264],[24.58455296409469,35.318434677809535],[24.58475206630681,35.31865280300923],[24.584838677627907,35.31874431148862],[24.584975830656624,35.318881454691564],[24.58503052835932,35.318931245333054],[24.58510573083725,35.31898740708954],[24.585054946638415,35.319143680459334],[24.584782579840606,35.319694226439395],[24.584679026518995,35.31985694792671]]]]}",EL,Ελλάδα ,Ρέθυμνο,Τοπική Κοινότητα Χαρκίων,2024-01-03T09:42:00+00:00,3.00,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2024-01-10T10:36:52.351114+00:00,,false,9318,ΡΕΘΥΜΝΗΣ,shape_max_overlap,1.000000,2026-03-08T13:04:35.628196+00:00,2026-03-08T13:04:35.628196+00:00,ΚΡΗΤΗΣ,ΚΡΗΤΗΣ
539,224192,"{""type"":""Point"",""coordinates"":[25.657738263075355,35.2846771052488]}","[""25.657332"",""35.283877"",""25.658087"",""35.285497""]","{""type"":""MultiPolygon"",""coordinates"":[[[[25.657956328489938,35.28441076909212],[25.65791348518035,35.284643704009206],[25.657918109981736,35.2847574712034],[25.657978908773728,35.28496622066668],[25.658007303512136,35.28505101524193],[25.658056742950023,35.2851714682888],[25.658073097409627,35.285228438799464],[25.658087151669832,35.285329165405464],[25.658056996827515,35.28538413493113],[25.657925870559882,35.28549681931787],[25.65782908148076,35.28545693654253],[25.657584439877006,35.285189412732166],[25.65748595303328,35.285058505374444],[25.657348233355965,35.284817800940026],[25.657332066424534,35.284687746357804],[25.657407019475105,35.28442353312506],[25.657463269540585,35.284322590587564],[25.657606699036087,35.28419490920949],[25.65764249854621,35.284129011968524],[25.65763805570012,35.28400085712598],[25.6576553832355,35.28395140370201],[25.657727097581983,35.28388756287891],[25.657778903648364,35.28387703538881],[25.657908318864006,35.28390000469706],[25.65796339778314,35.28391382101446],[25.65804781836156,35.283944491592926],[25.658052189251592,35.28402011604757],[25.6579847377793,35.28428304626206],[25.657956328489938,35.28441076909212]]]]}",EL,Ελλάδα ,Λασίθι,Τοπική Κοινότητα Καρυδίου Μιραμπέλλου,2024-01-07T10:08:00+00:00,1.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000,2024-01-10T10:37:58.118157+00:00,,false,9310,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,shape_max_overlap,1.000000,2026-03-08T13:04:35.628196+00:00,2026-03-08T13:04:35.628196+00:00,ΚΡΗΤΗΣ,ΚΡΗΤΗΣ
538,224193,"{""type"":""Point"",""coordinates"":[25.656511686676954,35.283460916037875]}","[""25.656139"",""35.283082"",""25.656810"",""35.283929""]","{""type"":""MultiPolygon"",""coordinates"":[[[[25.656660855733083,35.28392922590419],[25.65636664209402,35.28386355640068],[25.656291347829185,35.283793429248085],[25.65629324225178,35.28358684097064],[25.656275896070376,35.28350679621992],[25.656206657726685,35.28340262251504],[25.65617871591923,35.28334763491696],[25.65613947425509,35.283238327382364],[25.656155218044752,35.283190805625594],[25.656255582446487,35.28311561688449],[25.65635691534786,35.283093293243276],[25.65664996112596,35.28308181320939],[25.656737528995905,35.28308840937302],[25.656784452651866,35.28312549861406],[25.656799314506596,35.283147859047745],[25.656810089796423,35.28319758091637],[25.656799906645034,35.283335466054794],[25.656749596743712,35.28382106274049],[25.656660855733083,35.28392922590419]]]]}",EL,Ελλάδα ,Λασίθι,Τοπική Κοινότητα Καστελλίου Φουρνής,2024-01-07T10:08:00+00:00,,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,2024-01-10T10:38:09.392729+00:00,,false,9310,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,shape_max_overlap,1.000000,2026-03-08T13:04:35.628196+00:00,2026-03-08T13:04:35.628196+00:00,ΚΡΗΤΗΣ,ΚΡΗΤΗΣ
537,224194,"{""type"":""Point"",""coordinates"":[25.946134173995297,35.113627014741596]}","[""25.944573"",""35.112391"",""25.947341"",""35.115657""]","{""type"":""MultiPolygon"",""coordinates"":[[[[25.947340695720204,35.1138461478752],[25.94690086538932,35.1145836876429],[25.9467910523182,35.11486504045241],[25.94680455435697,35.11521981306389],[25.94680710468646,35.11535735011126],[25.946803503669155,35.11553654495563],[25.946728400935886,35.11559796001806],[25.946440426338697,35.11565719958935],[25.94631839377337,35.115568133329354],[25.946132596720645,35.115163107207955],[25.946091628723813,35.11490119859893],[25.946118372345275,35.114289403167774],[25.94607163134502,35.11407679687114],[25.945863423141898,35.11386317959243],[25.94564368730732,35.11377048433833],[25.944998804405394,35.11362422333201],[25.944779745006034,35.11347161568109],[25.94457416212213,35.113025402339915],[25.944573055204373,35.11286921563315],[25.944774338220547,35.11270905733229],[25.94492966461377,35.112622130366226],[25.945331412870182,35.112444806694754],[25.945537931572794,35.11240182860691],[25.94593796304103,35.1124122961514],[25.946109121997658,35.11240999000612],[25.946373589813152,35.112390569821855],[25.94661379402924,35.112601571901436],[25.94728189479975,35.113440172897484],[25.947340695720204,35.1138461478752]]]]}",EL,Ελλάδα ,Λασίθι,Τοπική Κοινότητα Χρυσοπηγής,2024-01-03T09:42:00+00:00,5.00,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,2024-01-10T10:38:37.498649+00:00,,false,9311,ΙΕΡΑΠΕΤΡΑΣ,shape_max_overlap,1.000000,2026-03-08T13:04:35.628196+00:00,2026-03-08T13:04:35.628196+00:00,ΚΡΗΤΗΣ,ΚΡΗΤΗΣ
536,224208,"{""type"":""Point"",""coordinates"":[25.81138278584951,36.36565743171144]}","[""25.808914"",""36.364133"",""25.814461"",""36.367234""]","{""type"":""MultiPolygon"",""coordinates"":[[[[25.813284787092158,36.366361989174685],[25.812286055298227,36.36648607824641],[25.81178530801056,36.366643479195154],[25.810839956502747,36.367130476930754],[25.810371231822412,36.367234485637496],[25.809496837656365,36.367151287080034],[25.80919833846397,36.366902797319064],[25.80891385765192,36.366021274748846],[25.808949520037537,36.365625879919975],[25.809372444918917,36.364972340272686],[25.809768616412722,36.364677088545484],[25.81088376435955,36.364184349906424],[25.81143044508897,36.36413290350847],[25.812437719243,36.36442591011345],[25.812820190666777,36.364558227533365],[25.813297801843007,36.36477892939315],[25.813556690219556,36.364884439674455],[25.814084174988402,36.36507336564027],[25.81426469430968,36.36522220862499],[25.814438048796077,36.36561114527105],[25.814460916399252,36.36574499414258],[25.81437634038614,36.36587570639451],[25.814216427847924,36.365980885751696],[25.813680164727213,36.36625851502986],[25.813284787092158,36.366361989174685]]]]}",EL,Ελλάδα ,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",Ψευδοδημοτική Κοινότητα Ανάφης,2024-01-06T09:38:00+00:00,11.00,0.00000,0.00000,0.00000,90.90909,0.00000,9.09091,0.00000,0.00000,0.00000,0.00000,2024-01-12T07:11:26.554921+00:00,,false,9269,ΑΝΑΦΗΣ,shape_max_overlap,1.000000,2026-03-08T13:04:35.628196+00:00,2026-03-08T13:04:35.628196+00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
535,224210,"{""type"":""Point"",""coordinates"":[22.462533930990297,36.43885409433674]}","[""22.461875"",""36.438539"",""22.463163"",""36.439198""]","{""type"":""MultiPolygon"",""coordinates"":[[[[22.463161195884847,36.4391533314503],[22.463162768581295,36.43911188297485],[22.463155959941282,36.43907337670027],[22.463140769976896,36.43903781262475],[22.46311719869829,36.43900519074419],[22.463085246113724,36.43897551105237],[22.463058436326737,36.43892876852697],[22.46303676935154,36.438864963168825],[22.463020245197004,36.43878409497691],[22.46300886386652,36.43868616394839],[22.462937268126126,36.43861267387905],[22.462805458083007,36.43856362463313],[22.46261343372958,36.43853901595961],[22.462361194943433,36.438538847492076],[22.462161206250077,36.438569884234624],[22.462013467445885,36.438632126527615],[22.461917978475142,36.43872557461435],[22.46187473943015,36.438850228641115],[22.46189015283539,36.438945800185394],[22.461964218891165,36.43901228922205],[22.46209693766462,36.43904969561619],[22.46228830908969,36.439058019123294],[22.462435163761352,36.43907048672101],[22.462537501672607,36.43908709862026],[22.462595322803892,36.43910785496845],[22.462608627123164,36.43913275584938],[22.462651746162663,36.43915426891361],[22.462724679944696,36.43917239411921],[22.462827428484403,36.43918713139571],[22.46295999178981,36.43919848064424],[22.46305980749024,36.439196630337385],[22.463126875528072,36.4391815805825],[22.463161195884847,36.4391533314503]]]]}",EL,Ελλάδα ,"Λακωνία, Μεσσηνία",Τοπική Κοινότητα Βάθειας,2024-01-04T23:26:00+00:00,1.00,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,2024-01-12T08:26:54.418309+00:00,,false,9248,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,shape_max_overlap,1.000000,2026-03-08T13:04:35.628196+00:00,2026-03-08T13:04:35.628196+00:00,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΠΕΛΟΠΟΝΝΗΣΟΥ
534,224211,"{""type"":""Point"",""coordinates"":[25.94377764863239,35.1111592872702]}","[""25.943513"",""35.110617"",""25.944128"",""35.111698""]","{""type"":""MultiPolygon"",""coordinates"":[[[[25.9441284573773,35.111646828762694],[25.94411306543583,35.11159534744894],[25.944094020868587,35.111550429054304],[25.944071323674834,35.11151207357775],[25.94404497385225,35.11148028101771],[25.94401497139696,35.111455051372126],[25.943986720276957,35.1113914274379],[25.943960220552256,35.111289409203685],[25.94393547228981,35.11114899665145],[25.943912475563412,35.11097018975661],[25.94387095106534,35.11082762930061],[25.943810898800006,35.11072131527956],[25.94373231872878,35.1106512476748],[25.943635210770033,35.11061742645286],[25.943566345193055,35.11063792021613],[25.94352572187467,35.11071272902975],[25.94351334084292,35.11084185291319],[25.94352920227711,35.11102529184014],[25.943552703579197,35.11116930786649],[25.94358384470896,35.1112739010119],[25.943622625614875,35.11133907128824],[25.943669046233936,35.11136481869947],[25.94370628437125,35.111399787783036],[25.943734340029778,35.11144397854867],[25.94375321320643,35.11149739100334],[25.943762903892157,35.11156002515106],[25.943793553470325,35.11161138045349],[25.94384516196705,35.11165145689068],[25.943917729391167,35.111680254428535],[25.944011255734118,35.11169777301876],[25.944077552539348,35.11169804156794],[25.944116619756464,35.11168106013787],[25.9441284573773,35.111646828762694]]]]}",EL,Ελλάδα ,Λασίθι,Τοπική Κοινότητα Χρυσοπηγής,2024-01-03T09:42:00+00:00,,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,2024-01-12T08:37:49.077725+00:00,,false,9311,ΙΕΡΑΠΕΤΡΑΣ,shape_max_overlap,1.000000,2026-03-08T13:04:35.628196+00:00,2026-03-08T13:04:35.628196+00:00,ΚΡΗΤΗΣ,ΚΡΗΤΗΣ
