title,referenceNumber,prevReferenceNo,noticeReferenceNumber,nextRefNo,nextExtended,nextModified,submissionDate,contractSignedDate,startDate,noEndDate,endDate,cancelled,cancellationDate,cancellationType,cancellationReason,decisionRelatedAda,contractNumber,organizationVatNumber,greekOrganizationVatNumber,diavgeiaADA,budget,contractBudget,bidsSubmitted,maxBidsSubmitted,numberOfSections,centralGovernmentAuthority,nutsCode_key,nutsCode_value,organization_key,organization_value,procedureType_key,procedureType_value,awardProcedure,nutsCity,nutsPostalCode,centralizedMarkets,contractType,assignCriteria,classificationOfPublicLawOrganization,typeOfContractingAuthority,contractingAuthorityActivity,contractDuration,contractDurationUnitOfMeasure,contractRelatedADA,fundingDetails_cofund,fundingDetails_selfFund,fundingDetails_espa,fundingDetails_regularBudget,unitsOperator,signers,contractingMembers_count,contractingMembers_vatNumbers,contractingMembers_names,contractingMembers_details,firstMember_vatNumber,firstMember_name,totalCostWithVAT,totalCostWithoutVAT,shortDescriptions,cpv_keys,cpv_values,greenContracts,auctionRefNo,paymentRefNo
Εργασίες κλαδέματος και αποκομιδής κατά μήκος των περιφράξεων εξωτερικά και εσωτερικά των εγκαταστάσ,26SYMV019716156,,,,,,2026-09-03T08:11:34.879,2026-07-28,2026-07-28,False,2026-09-28,False,,,,,26226,099877486,,,,19400.0,,1,1,Όχι,EL,ΕΛΛΑΔΑ,100034350,ΑΝΕΞΑΡΤΗΤΟΣ ΔΙΑΧΕΙΡΙΣΤΗΣ ΜΕΤΑΦΟΡΑΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ ΑΔΜΗΕ ΑΕ,6,Απευθείας ανάθεση,,ΑΘΗΝΑ,10443,Δεν χρησιμοποιείται,Υπηρεσίες,Βάσει τιμής,Εκτός Γενικής Κυβέρνησης,ΝΠΙΔ,Τυχόν άλλη δραστηριότητα,2,Μήνες,ΨΧΠΞ465ΧΙ8-Σ8Ο,,.,,,ΔΙΕΥΘΥΝΣΗ ΑΚΙΝΗΤΩΝ & ΓΕΝΙΚΩΝ ΥΠΗΡΕΣΙΩΝ,ΠΑΝΑΓΙΩΤΗΣ ΖΩΗΤΟΣ - Διευθυντής,1,"[""800804157""]","[""PEST & GREEN EE""]","[{""countryKey"": ""GR"", ""countryValue"": ""Ελλάδα"", ""name"": ""PEST & GREEN EE"", ""vatNumber"": ""800804157""}]",800804157,PEST & GREEN EE,24056.0,19400.0,Εργασίες κλαδέματος και αποκομιδής κατά μήκος των περιφράξεων εξωτερικά και εσωτερικά των εγκαταστάσεων του ΚΥΤ Αγ. Στεφάνου και αποθηκών του ΑΔΜΗΕ επί της οδού Ασκληπιού 19-21 στο Κρυονέρι,77340000-5,Κλάδεμα δένδρων και θάμνων,Δεν εμπίπτει στο ΕΣΔ,26AWRD019716135,[]
ΠΡΟΜΗΘΕΙΑ 15 ΤΕΜ ΠΥΡΟΣΒΕΣΤΙΚΩΝ ΚΡΟΥΝΩΝ (ΥΔΡΟΣΤΟΜΙΩΝ ΠΥΡΚΑΓΙΑΣ),26SYMV019719575,,,,,,2026-09-03T11:42:20.926,2026-08-25,2026-08-25,False,2026-09-08,False,,,,,333/2026,094549011,,,,4140.0,,1,1,Όχι,EL522,Θεσσαλονίκη,99200068,ΕΤΑΙΡΕΙΑ ΥΔΡΕΥΣΗΣ ΑΠΟΧΕΤΕΥΣΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΕΥΑΘ ΑΕ),6,Απευθείας ανάθεση,,ΘΕΣΣΑΛΟΝΙΚΗ,54635,Δεν χρησιμοποιείται,Προμήθειες,Βάσει τιμής,Εκτός Γενικής Κυβέρνησης,ΝΠΙΔ,Δραστηριότητες που αφορούν την ύδρευση,15,Ημέρες,00,,00,,,ΔΙΕΥΘΥΝΩΝ ΣΥΜΒΟΥΛΟΣ,ΑΝΘΙΜΟΣ ΑΜΑΝΑΤΙΔΗΣ - Διευθύνων Σύμβουλος,1,"[""999292220""]","[""ΥΔΡΟΠΛΑΣΤΙΚΗ GROUP Ι.Κ.Ε""]","[{""countryKey"": ""GR"", ""countryValue"": ""Ελλάδα"", ""name"": ""ΥΔΡΟΠΛΑΣΤΙΚΗ GROUP Ι.Κ.Ε"", ""vatNumber"": ""999292220""}]",999292220,ΥΔΡΟΠΛΑΣΤΙΚΗ GROUP Ι.Κ.Ε,5133.6,4140.0,ΠΡΟΜΗΘΕΙΑ 15 ΤΕΜ ΠΥΡΟΣΒΕΣΤΙΚΩΝ ΚΡΟΥΝΩΝ (ΥΔΡΟΣΤΟΜΙΩΝ ΠΥΡΚΑΓΙΑΣ),44482200-4,Κρουνοί υδροληψίας για πυρόσβεση,Δεν εμπίπτει στο ΕΣΔ,26AWRD019719450,[]
"ΣΥΜΒΑΣΗ ΓΙΑ ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΑΣ ΕΚΧΟΡΤΩΣΗΣ-ΕΚΘΑΜΝΩΣΗΣ-ΒΟΤΑΝΙΣΜΑ , ΚΑΘΑΡ ΚΑΙ ΑΠΟΡΡ ΤΩΝ ΠΡΟΪΟΝΤ ΚΑΘΑΡΙΣΜ ",26SYMV019722125,,,,,,2026-09-03T13:51:15.396,2026-08-28,2026-08-28,False,2026-12-28,False,,,,,9669,094038689,,,,27810.0,,4,1,Ναι,EL,ΕΛΛΑΔΑ,99200192,ΟΡΓΑΝΙΣΜΟΣ ΣΙΔΗΡΟΔΡΟΜΩΝ ΕΛΛΑΔΑΣ (ΟΣΕ),6,Απευθείας ανάθεση,,ΑΘΗΝΑ,10437,Δεν χρησιμοποιείται,Υπηρεσίες,Βάσει τιμής,Κεντρική Κυβέρνηση,ΝΠΙΔ,Γενικές δημόσιες υπηρεσίες,4,Μήνες,ΨΜΖΥ46ΨΧΕΔ-ΞΣΙ,,,,61.04,ΔΙΕΥΘΥΝΣΗ ΠΡΟΜΗΘΕΙΩΝ ΚΑΙ ΕΦΟΔΙΑΣΜΟΥ,ΑΓΓΕΛΙΚΗ ΖΟΡΜΠΑ - Διευθυντής,1,"[""079463956""]","[""ΧΡΥΣΑΦΗΣ Ε. ΑΛΕΞΑΝΔΡΟΣ""]","[{""countryKey"": ""GR"", ""countryValue"": ""Ελλάδα"", ""name"": ""ΧΡΥΣΑΦΗΣ Ε. ΑΛΕΞΑΝΔΡΟΣ"", ""vatNumber"": ""079463956""}]",079463956,ΧΡΥΣΑΦΗΣ Ε. ΑΛΕΞΑΝΔΡΟΣ,34484.4,27810.0,"ΑΠΟΦΑΣΗ ΑΝΑΘΕΣΗΣ ΓΙΑ ""ΕΚΧΟΡΤΩΣΗ-ΕΚΘΑΜΝΩΣΗ-ΒΟΤΑΝΙΣΜΑ , ΚΑΘΑΡΙΣΜΟΣ ΚΑΙ ΑΠΟΡΡΙΨΗ ΤΩΝ ΠΡΟΪΟΝΤΩΝ ΚΑΘΑΡΙΣΜΟΥ ΚΑΙ ΕΚΧΟΡΤΩΣΗΣ ΤΗΣ ΑΝΟΙΧΤΗΣ ΣΙΔΗΡΟΔΡΟΜΙΚΗΣ ΓΡΑΜΜΗΣ ΣΤΗΝ ΓΡΑΜΜΗ Α-Ο, ΣΤΗΝ ΔΙΚΑΙΟΔΟΣΙΑ ΤΟΥ ΤΜΗΜΑΤΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ""",77312000-0,Υπηρεσίες εκκαθάρισης από αγριόχορτα,Δεν εμπίπτει στο ΕΣΔ,26AWRD019111430,[]
Τροποποίηση της Τ10/2025 Σύμβασης Υ.ΝΑ.Ν.Π./ Γ.Δ.Ο.Υ./ ΔΙ.Π.Ε.Α. 2ου,26SYMV019717539,,,,,,2026-09-03T09:55:55.722,2026-09-01,2026-09-02,False,2028-05-16,False,,,,,T18/2026,997881842,,,,587080.0,,2,3,Ναι,EL307,"Πειραιάς, Νήσοι",100015969,ΥΠΟΥΡΓΕΙΟ ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ,1,Ανοιχτή διαδικασία,,ΠΕΙΡΑΙΑΣ,18510,Δεν χρησιμοποιείται,Υπηρεσίες,Βάσει τιμής,Κεντρική Κυβέρνηση,Κεντρική Διοίκηση,Δημόσια τάξη και ασφάλεια,36,Μήνες,"ΨΓ1Δ4653ΠΩ-ΣΕΖ,ΨΙ2Α4653ΠΩ-Ξ1Η,ΨΖ634653ΠΩ-ΚΟΤ",,,,"2420301001, 2410203001",ΔΙΕΥΘΥΝΣΗ ΠΡΟΜΗΘΕΙΩΝ ΚΑΙ ΕΠΟΠΤΕΙΑΣ ΑΠΟΘΗΚΩΝ,ΒΑΣΙΛΕΙΟΣ ΚΙΚΙΛΙΑΣ - Υπουργός,1,"[""998656870""]","[""ΜΟΥΣΤΑΦΕΡΗΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗΕΤΑΙΡΕΙΑ ΣΥΣΤΗΜΑΤΩΝ ΕΛΕΓΧΟΥ""]","[{""countryKey"": ""GR"", ""countryValue"": ""Ελλάδα"", ""name"": ""ΜΟΥΣΤΑΦΕΡΗΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗΕΤΑΙΡΕΙΑ ΣΥΣΤΗΜΑΤΩΝ ΕΛΕΓΧΟΥ"", ""vatNumber"": ""998656870""}]",998656870,ΜΟΥΣΤΑΦΕΡΗΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗΕΤΑΙΡΕΙΑ ΣΥΣΤΗΜΑΤΩΝ ΕΛΕΓΧΟΥ,674651.66,544073.92,"ΚΑΤΗΓΟΡΙΑ 1: Αφορά τα Είδη Α΄, Γ΄, Δ΄, Ε΄, ΣΤ΄: «Παροχή υπηρεσιών συντήρησης και προμήθειας ανταλλακτικών ηλεκτρομηχανολογικών εγκαταστάσεων κεντρικού κτιρίου Υ.ΝΑ.Ν.Π. και παρακείμενου πύργου για χρονικό διάστημα τριάντα έξι (36) μηνών» | Αφορά το Είδος Β’ «Παροχή υπηρεσιώνσυντήρησης και προμήθειας ανταλλακτικώνκλιματισμού κεντρικού κτιρίου Υ.ΝΑ.Ν.Π. καιπαρακείμενου πύργου για χρονικό διάστηματριάντα έξι (36) μηνών»",50700000-2 | 50413200-5 | 31720000-9 | 31625100-4 | 50710000-5 | 35111200-7 | 50700000-2 | 42512500-3,Υπηρεσίες επισκευής και συντήρησης εγκαταστάσεων κτιρίου | Υπηρεσίες επισκευής και συντήρησης εξοπλισμού πυρόσβεσης | Ηλεκτρομηχανολογικός εξοπλισμός | Συστήματα πυρανίχνευσης | Υπηρεσίες επισκευής και συντήρησης ηλεκτρομηχανολογικών εγκαταστάσεων κτιρίου | Υλικά πυρόσβεσης | Υπηρεσίες επισκευής και συντήρησης εγκαταστάσεων κτιρίου | Μέρη κλιματιστικών μηχανημάτων,Δεν εμπίπτει στο ΕΣΔ | Δεν εμπίπτει στο ΕΣΔ,,[]
Μίσθωση μηχανημάτων για εργασίες αποψίλωσης αγροτικών δρόμων στην Δ.Ε Αγίου Γεωργίου,26SYMV019716468,,,,,,2026-09-03T08:48:19.561,2026-09-02,2026-09-02,False,2026-12-01,False,,,,,6993,996832390,,,,30000.0,,1,1,Όχι,EL622,Κέρκυρα,100049339,ΔΗΜΟΣ ΒΟΡΕΙΑΣ ΚΕΡΚΥΡΑΣ,6,Απευθείας ανάθεση,,"ΑΧΑΡΑΒΗ,ΚΕΡΚΥΡΑ",49081,Δεν χρησιμοποιείται,Υπηρεσίες,Βάσει τιμής,ΟΤΑ,ΝΠΔΔ,Γενικές δημόσιες υπηρεσίες,3,Μήνες,9Π2Λ46ΜΓΜΥ-61Υ,,,,020.2440989006,ΓΡΑΦΕΙΟ ΠΡΟΥΠΟΛΟΓΙΣΜΟΥ ΛΟΓΙΣΤΗΡΙΟΥ ΚΑΙ ΠΡΟΜΗΘΕΙΩΝ,ΓΕΩΡΓΙΟΣ ΜΑΧΕΙΜΑΡΗΣ - Δήμαρχος,1,"[""803337821""]","[""ΔΟΜΙΚΗ ΑΣΦΑΛΤΙΚΗ ΙΚΕ""]","[{""countryKey"": ""GR"", ""countryValue"": ""Ελλάδα"", ""name"": ""ΔΟΜΙΚΗ ΑΣΦΑΛΤΙΚΗ ΙΚΕ"", ""vatNumber"": ""803337821""}]",803337821,ΔΟΜΙΚΗ ΑΣΦΑΛΤΙΚΗ ΙΚΕ,37200.0,30000.0,ΚΑΘΑΡΙΣΜΟΣ ΠΑΡΟΔΙΑΣ ΑΝΕΠΙΘΥΜΗΤΗΣ ΒΛΑΣΤΗΣΗΣ ΕΚΤΟΣ ΟΙΚΙΣΜΩΝ,77312000-0,Υπηρεσίες εκκαθάρισης από αγριόχορτα,Δεν εμπίπτει στο ΕΣΔ,26AWRD019708766,[]
«Εργασίες καθαρισμού και αποψίλωσης κοινόχρηστων χώρων και οικοπεδικών εκτάσεων για λόγους πυροπροστ,26SYMV019716455,26SYMV019220926,,,,,2026-09-03T08:47:16.221,2026-09-03,2026-09-03,False,2027-10-31,False,,,, ΨΨΠ0Ω9Μ-ΡΡΤ,28447,997784894,,,,57600.0,,1,1,Όχι,EL514,Δράμα,6081,ΔΗΜΟΣ ΔΡΑΜΑΣ,1,Ανοιχτή διαδικασία,,ΔΡΑΜΑ,66133,Δεν χρησιμοποιείται,Υπηρεσίες,Βάσει τιμής,ΟΤΑ,ΝΠΔΔ,Γενικές δημόσιες υπηρεσίες,2,Έτη,92ΕΨΩ9Μ-1ΒΕ,,,,065.242030111112,ΔΙΕΥΘΥΝΣΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ & ΠΡΑΣΙΝΟΥ,ΓΕΩΡΓΙΟΣ ΠΑΠΑΔΟΠΟΥΛΟΣ - Δήμαρχος,1,"[""998640571""]","[""ΠΟΛΥΤΑΡΧΗΣ ΒΑΣΙΛΕΙΟΣ ΚΑΙ ΣΙΑ Ε.Ε""]","[{""countryKey"": ""GR"", ""countryValue"": ""Ελλάδα"", ""name"": ""ΠΟΛΥΤΑΡΧΗΣ ΒΑΣΙΛΕΙΟΣ ΚΑΙ ΣΙΑ Ε.Ε"", ""vatNumber"": ""998640571""}]",998640571,ΠΟΛΥΤΑΡΧΗΣ ΒΑΣΙΛΕΙΟΣ ΚΑΙ ΣΙΑ Ε.Ε,58032.0,46800.0,"Καθαρισμός - αποψίλωση βλάστησης σε αστικές περιοχές (κοινόχρηστους χώρους) και οικόπεδα  είτε χειρωνακτικά με τη χρήση θαμνοκοπτικών μηχανημάτων, ψαλιδιών, μικρών  τηλεσκοπικών κλαδευτηριών είτε με   την χρήση μηχανημάτων έργου (φορτωτής, γκρέιντερ κλπ) για τα έτη 2026 και 2027, συνολικής έκτασης κάθε έτος 108 στρεμμάτων για το 2026 και 72 για το 2027",77312000-0,Υπηρεσίες εκκαθάρισης από αγριόχορτα,Δεν εμπίπτει στο ΕΣΔ,26AWRD019152708,[]
"""ΣΥΜΒΑΣΗ ΓΙΑ ΠΡΟΜΗΘΕΙΑ ΦΙΛΤΡΩΝ ΤΥΠΟΥ BAYONET"".",26SYMV019719047,,,,,,2026-09-03T11:17:10.808,2026-09-03,2026-09-03,False,2026-12-03,False,,,,,15,996673084,,,,13000.0,,2,2,Ναι,EL306,Δυτική Αττική,100068650,ΥΠΟΥΡΓΕΙΟ ΚΛΙΜΑΤΙΚΗΣ ΚΡΙΣΗΣ ΚΑΙ ΠΟΛΙΤΙΚΗΣ ΠΡΟΣΤΑΣΙΑΣ,6,Απευθείας ανάθεση,,ΜΑΝΔΡΑ ΑΤΤΙΚΗΣ,19600,Δεν χρησιμοποιείται,Προμήθειες,Βάσει τιμής,Κεντρική Κυβέρνηση,Κεντρική Διοίκηση,Οικονομικές και δημοσιονομικές υποθέσεις,3,Μήνες,68ΓΓ46ΝΠΙΘ-ΡΝΣ,,,,3120989001,ΥΠΗΡΕΣΙΑ ΔΙΑΧΕΙΡΙΣΗΣ ΠΥΡΟΣΒΕΣΤΙΚΟΥ ΥΛΙΚΟΥ,ΔΗΜΗΤΡΙΟΣ ΤΣΕΛΙΟΣ - Αναπληρωτής Διευθυντής,1,"[""997799268""]","[""DRAEGER HELLAS""]","[{""countryKey"": ""GR"", ""countryValue"": ""Ελλάδα"", ""name"": ""DRAEGER HELLAS"", ""vatNumber"": ""997799268""}]",997799268,DRAEGER HELLAS,16120.0,13000.0,Προμήθεια φίλτρων προστασιας τύπου bayonet,35111000-5,Πυροσβεστικός εξοπλισμός,Δεν εμπίπτει στο ΕΣΔ,26AWRD019718775,[]
«ΣΥΝΤΗΡΗΣΗ ΚΑΙ ΕΛΕΓΧΟΣ ΛΕΙΤΟΥΡΓΙΑΣ ΠΥΡΟΣΒΕΣΤΙΚΩΝ ΚΡΟΥΝΩΝ»,26SYMV019719073,,,,,,2026-09-03T11:18:18.827,2026-09-03,2026-09-03,False,2026-12-31,False,,,,,10561,800297211,,,,2822.58,,1,1,Όχι,EL644,Φθιώτιδα,6289,ΔΗΜΟΣ ΣΤΥΛΙΔΑΣ,6,Απευθείας ανάθεση,,ΣΤΥΛΙΔΑ,35300,Δεν χρησιμοποιείται,Υπηρεσίες,Βάσει τιμής,ΟΤΑ,ΝΠΔΔ,Γενικές δημόσιες υπηρεσίες,4,Μήνες,9Λ4ΑΩ1Ζ-ΟΕΝ,,,,00.065.2420389.001,ΔΗΜΟΣ ΣΤΥΛΙΔΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΣ ΦΟΥΝΤΑΣ - Αναπληρωτής Δήμαρχος,1,"[""051457595""]","[""ΑΘΑΝΑΣΙΟΣ ΕΜΜΑΝ. ΜΠΑΡΟΥΤΗΣ ""]","[{""countryKey"": ""GR"", ""countryValue"": ""Ελλάδα"", ""name"": ""ΑΘΑΝΑΣΙΟΣ ΕΜΜΑΝ. ΜΠΑΡΟΥΤΗΣ "", ""vatNumber"": ""051457595""}]",051457595,ΑΘΑΝΑΣΙΟΣ ΕΜΜΑΝ. ΜΠΑΡΟΥΤΗΣ ,3500.0,2822.58,Η παρούσα μελέτη αφορά  την εργασία της ετήσιας συντήρησης και ελέγχου λειτουργίας των πυροσβεστικών κρουνών  στις δημοτικές κοινότητες του Δήμου μας    σύμφωνα με τις υποδείξεις της επιτροπής ελέγχου υδροστομίων Περιοχής Ευθύνης Π.Κ  Στυλίδας ,44482200-4,Κρουνοί υδροληψίας για πυρόσβεση,Δεν εμπίπτει στο ΕΣΔ,26AWRD019717506,[]
Σύμβαση παροχής υπηρεσίας συντήρηση κοινοχρήστων χώρων του Δήμου Σερρών τμήμα (Γ.α)ΑΜΕΣΗΣ ΑΝAΓΚΗΣ,26SYMV019719477,,,,,,2026-09-03T11:37:26.481,2026-09-03,2026-09-03,False,2026-12-02,False,,,,,32545,997657764,,,,17800.0,,3,3,Όχι,EL526,Σέρρες,6272,ΔΗΜΟΣ ΣΕΡΡΩΝ,6,Απευθείας ανάθεση,,Σέρρες,62100,Δεν χρησιμοποιείται,Υπηρεσίες,Βάσει τιμής,ΟΤΑ,ΝΠΔΔ,Γενικές δημόσιες υπηρεσίες,3,Μήνες,ΨΥ1ΣΥΩ10-ΕΡΠ,,,,035.2420301026,ΓΡΑΦΕΙΟ ΔΗΜΑΡΧΟΥ,ΒΑΡΒΑΡΑ ΜΗΤΛΙΑΓΚΑ - Δήμαρχος,1,"[""156325216""]","[""ΔΑΣΚΑΛΙΔΟΥ ΜΑΡΙΑ ΕΛΕΝΗ ""]","[{""countryKey"": ""GR"", ""countryValue"": ""Ελλάδα"", ""name"": ""ΔΑΣΚΑΛΙΔΟΥ ΜΑΡΙΑ ΕΛΕΝΗ "", ""vatNumber"": ""156325216""}]",156325216,ΔΑΣΚΑΛΙΔΟΥ ΜΑΡΙΑ ΕΛΕΝΗ ,22072.0,17800.0,Στο Δήμο μας υπάρχει η ΑΜΕΣΗ ΑΝΑΓΚΗ για την Παροχή της Γενικής Υπηρεσίας:“Συντήρηση κοινόχρηστων χώρων πρασίνου του Δήμου Σερρών’’ για το τμήμα Γα (ΓΗΠΕΔΑ ΠΟΔΟΣΦΑΙΡΟΥ),77312000-0 | 77320000-9 | 77320000-9,Υπηρεσίες εκκαθάρισης από αγριόχορτα | Συντήρηση αθλητικών γηπέδων | Συντήρηση αθλητικών γηπέδων,Δεν εμπίπτει στο ΕΣΔ,26AWRD019701150,[]
"""ΣΥΜΒΑΣΗ ΓΙΑ ΠΡΟΜΗΘΕΙΑ ΜΙΝΙ ΣΥΣΤΗΜΑΤΟΣ ΠΡΟΒΟΛΗΣ"".",26SYMV019719814,,,,,,2026-09-03T11:54:57.335,2026-09-03,2026-09-03,False,2026-12-03,False,,,,,16,996673084,,,,26730.0,,2,2,Όχι,EL306,Δυτική Αττική,100068650,ΥΠΟΥΡΓΕΙΟ ΚΛΙΜΑΤΙΚΗΣ ΚΡΙΣΗΣ ΚΑΙ ΠΟΛΙΤΙΚΗΣ ΠΡΟΣΤΑΣΙΑΣ,6,Απευθείας ανάθεση,,ΜΑΝΔΡΑ ΑΤΤΙΚΗΣ,19600,Δεν χρησιμοποιείται,Προμήθειες,Βάσει τιμής,Κεντρική Κυβέρνηση,Κεντρική Διοίκηση,Οικονομικές και δημοσιονομικές υποθέσεις,3,Μήνες,ΨΦΕΧ46ΝΠΙΘ-ΞΔΞ,,,,3120989001,ΥΠΗΡΕΣΙΑ ΔΙΑΧΕΙΡΙΣΗΣ ΠΥΡΟΣΒΕΣΤΙΚΟΥ ΥΛΙΚΟΥ,ΔΗΜΗΤΡΙΟΣ ΤΣΕΛΙΟΣ - Αναπληρωτής Διευθυντής,1,"[""800846740""]","[""ΓΙΩΤΟΠΟΥΛΟΥ ΒΙΚΤΩΡΙΑ Ε.Ε""]","[{""countryKey"": ""GR"", ""countryValue"": ""Ελλάδα"", ""name"": ""ΓΙΩΤΟΠΟΥΛΟΥ ΒΙΚΤΩΡΙΑ Ε.Ε"", ""vatNumber"": ""800846740""}]",800846740,ΓΙΩΤΟΠΟΥΛΟΥ ΒΙΚΤΩΡΙΑ Ε.Ε,33145.2,26730.0,Επαναφορτιζόμενο μίνι συστήμα προβολής (φακός),35111000-5,Πυροσβεστικός εξοπλισμός,Δεν εμπίπτει στο ΕΣΔ,26AWRD019719489,[]
