reference_number,parent_reference_number,record_kind,completion_scope,initial_completion_date,initial_date_basis,final_completion_date,final_date_basis,date_notes,source_document_ids,source_urls,research_cutoff
22SYMV011593395,,original,Δασαρχείο Αιγάλεω,2023-02-11,derived_from_signature_and_duration,2023-05-25,approved_extension,"Η αρχική τρίμηνη προθεσμία υπολογίζεται από την υπογραφή της 11.11.2022. Η παράταση έως 25.05.2023 αφορά το τμήμα Αιγάλεω.","22SYMV011593395 | Ρ1ΤΞ4653Π8-ΤΕΛ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/22SYMV011593395 | https://diavgeia.gov.gr/doc/Ρ1ΤΞ4653Π8-ΤΕΛ",2026-08-12
23SYMV012820428,,original,Δασαρχείο Μεγάρων,2023-09-27,explicit_in_extension_decision,2023-10-31,approved_extension,"Η απόφαση καταγράφει ρητά την αρχική λήξη 27.09.2023 και εγκρίνει παράταση 34 ημερών έως 31.10.2023.","23SYMV012820428 | 6Μ6Φ4653Π8-86Β","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV012820428 | https://diavgeia.gov.gr/doc/6Μ6Φ4653Π8-86Β",2026-08-12
23SYMV013154974,23SYMV012820428,correction_no_price_change,Δασαρχείο Μεγάρων,2023-09-27,inherited_from_parent,2023-10-31,inherited_from_parent,"Η διορθωτική πράξη αλλάζει μόνο την εγγύηση καλής εκτέλεσης και δεν αλλάζει το χρονοδιάγραμμα της 23SYMV012820428.","23SYMV013154974 | 23SYMV012820428 | 6Μ6Φ4653Π8-86Β","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV013154974 | https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV012820428 | https://diavgeia.gov.gr/doc/6Μ6Φ4653Π8-86Β",2026-08-12
23SYMV012963827,,original,Δασαρχείο Αιγάλεω,2023-12-02,explicit_in_extension_decision,2023-12-22,approved_extension,"Η εγκατάσταση έγινε 04.09.2023. Η πράξη παράτασης αναφέρει αρχική λήξη 02.12.2023 και νέα λήξη 22.12.2023.","23SYMV012963827 | ΨΖΟ94653Π8-ΗΕ3","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV012963827 | https://diavgeia.gov.gr/doc/ΨΖΟ94653Π8-ΗΕ3",2026-08-12
23SYMV012964096,,original,Δασαρχείο Αιγάλεω — πρωτόκολλο εγκατάστασης 04.09.2023,2023-12-04,derived_from_installation_and_duration,2023-12-22,actual_completion_no_extension_found,"Η τρίμηνη αρχική λήξη υπολογίζεται από το πρώτο πρωτόκολλο εγκατάστασης. Η 22.12.2023 είναι ημερομηνία βεβαίωσης περαίωσης· δεν εντοπίστηκε πράξη παράτασης στα οκτώ αρχειοθετημένα αποτελέσματα.","23SYMV012964096 | 6ΛΑΚ4653Π8-ΜΞ6","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV012964096 | https://diavgeia.gov.gr/doc/6ΛΑΚ4653Π8-ΜΞ6",2026-08-12
23SYMV012964096,,original,Δασαρχείο Αιγάλεω — πρωτόκολλο εγκατάστασης 11.09.2023,2023-12-11,derived_from_installation_and_duration,2023-12-22,actual_completion_no_extension_found,"Η τρίμηνη αρχική λήξη υπολογίζεται από το δεύτερο πρωτόκολλο εγκατάστασης. Η 22.12.2023 είναι ημερομηνία βεβαίωσης περαίωσης· δεν εντοπίστηκε πράξη παράτασης στα οκτώ αρχειοθετημένα αποτελέσματα.","23SYMV012964096 | 6ΛΑΚ4653Π8-ΜΞ6","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV012964096 | https://diavgeia.gov.gr/doc/6ΛΑΚ4653Π8-ΜΞ6",2026-08-12
23SYMV013156865,23SYMV012964096,correction_no_price_change,Δασαρχείο Αιγάλεω — πρωτόκολλο εγκατάστασης 04.09.2023,2023-12-04,inherited_from_parent,2023-12-22,inherited_from_parent,"Η διορθωτική πράξη προσθέτει ανάλυση κονδυλίου αναθεώρησης χωρίς αλλαγή χρονοδιαγράμματος. Οι ημερομηνίες κληρονομούνται από την 23SYMV012964096.","23SYMV013156865 | 23SYMV012964096 | 6ΛΑΚ4653Π8-ΜΞ6","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV013156865 | https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV012964096 | https://diavgeia.gov.gr/doc/6ΛΑΚ4653Π8-ΜΞ6",2026-08-12
23SYMV013156865,23SYMV012964096,correction_no_price_change,Δασαρχείο Αιγάλεω — πρωτόκολλο εγκατάστασης 11.09.2023,2023-12-11,inherited_from_parent,2023-12-22,inherited_from_parent,"Η διορθωτική πράξη προσθέτει ανάλυση κονδυλίου αναθεώρησης χωρίς αλλαγή χρονοδιαγράμματος. Οι ημερομηνίες κληρονομούνται από την 23SYMV012964096.","23SYMV013156865 | 23SYMV012964096 | 6ΛΑΚ4653Π8-ΜΞ6","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV013156865 | https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV012964096 | https://diavgeia.gov.gr/doc/6ΛΑΚ4653Π8-ΜΞ6",2026-08-12
23SYMV012992150,,original,Δασαρχείο Αιγάλεω,2023-12-13,derived_from_installation_and_duration,2024-01-25,actual_completion_no_extension_found,"Η αρχική λήξη υπολογίζεται ως τρεις μήνες από την εγκατάσταση της 13.09.2023. Η 25.01.2024 είναι βεβαίωση περαίωσης για το Αιγάλεω· η παράταση έως 21.12.2023 αφορούσε μόνο Καπανδρίτι και Λαύριο.","23SYMV012992150 | ΨΞΠΝ4653Π8-ΤΣΧ | Ψ8Δ84653Π8-4ΔΚ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/23SYMV012992150 | https://diavgeia.gov.gr/doc/ΨΞΠΝ4653Π8-ΤΣΧ | https://diavgeia.gov.gr/doc/Ψ8Δ84653Π8-4ΔΚ",2026-08-12
24SYMV014192335,,original,Δασαρχείο Αιγάλεω — κύριες εργασίες εκτός φυτεύσεων,2024-07-04,explicit_in_extension_decision,2024-09-05,approved_extension,"Η αρχική λήξη 04.07.2024 και η παράταση έως 05.09.2024 καταγράφονται στις πράξεις. Η βεβαίωση περαίωσης των λοιπών εργασιών είναι 11.10.2024.","24SYMV014192335 | 99Ζ24653Π8-Α17 | 9Κ2Η4653Π8-ΟΩΨ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/24SYMV014192335 | https://diavgeia.gov.gr/doc/99Ζ24653Π8-Α17 | https://diavgeia.gov.gr/doc/9Κ2Η4653Π8-ΟΩΨ",2026-08-12
24SYMV014192335,,original,Δασαρχείο Αιγάλεω — προμήθεια μεταφορά και φύτευση πλατύφυλλων,2024-07-04,explicit_in_extension_decision,2024-12-31,approved_extension,"Η τελική παράταση έως 31.12.2024 αφορά μόνο την προμήθεια μεταφορά και φύτευση πλατύφυλλων. Η μεταγενέστερη συντήρηση των φυτεύσεων δεν αποτελεί παράταση εκτέλεσης αυτών των εργασιών.","24SYMV014192335 | ΨΑ5Υ4653Π8-8ΦΖ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/24SYMV014192335 | https://diavgeia.gov.gr/doc/ΨΑ5Υ4653Π8-8ΦΖ",2026-08-12
24SYMV014217833,,original,Δασαρχείο Μεγάρων,2024-06-08,derived_from_installation_and_duration,2025-11-30,actual_completion_with_unresolved_deadline_chain,"Η αρχική λήξη υπολογίζεται ως τρεις μήνες από το πρωτόκολλο εγκατάστασης της 08.03.2024. Η βεβαίωση αναφέρει περάτωση 30.11.2025 εντός προθεσμίας αλλά δεν εντοπίστηκε πράξη που να τεκμηριώνει πλήρως τη μεταβολή της προθεσμίας. Η σύμβαση περιλαμβάνει και 15 μήνες συντήρησης πλατύφυλλων.","24SYMV014217833 | ΨΗΨΜ4653Π8-3ΜΠ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/24SYMV014217833 | https://diavgeia.gov.gr/doc/ΨΗΨΜ4653Π8-3ΜΠ",2026-08-12
24SYMV014223991,,original,Δασαρχεία Αιγάλεω και Μεγάρων,2024-06-22,derived_from_installation_and_duration,2024-07-30,actual_completion_no_extension_found,"Η αρχική λήξη υπολογίζεται ως τρεις μήνες από τα πρωτόκολλα εγκατάστασης της 22.03.2024. Η βεβαίωση περαίωσης είναι 30.07.2024· δεν εντοπίστηκε χωριστή πράξη παράτασης. Ακολούθησε υποχρεωτική συντήρηση και μεταγενέστερη παραλαβή.","24SYMV014223991 | 6ΣΧΡ4653Π8-ΤΜΒ | 6ΤΑΨ4653Π8-9ΓΝ","https://cerpp.eprocurement.gov.gr/khmdhs-opendata/contract/attachment/24SYMV014223991 | https://diavgeia.gov.gr/doc/6ΣΧΡ4653Π8-ΤΜΒ | https://diavgeia.gov.gr/doc/6ΤΑΨ4653Π8-9ΓΝ",2026-08-12
